file_name;algo_name;learning evaluation instances;evaluation time (cpu seconds);model cost (RAM-Hours);classified instances;classifications correct (percent);Kappa Statistic (percent);Kappa Temporal Statistic (percent);Kappa M Statistic (percent);model training instances;model serialized size (bytes);tree size (nodes);tree size (leaves);active learning leaves;tree depth;active leaf byte size estimate;inactive leaf byte size estimate;byte size estimate overhead
﻿en_10000;HoeffdingAdaptiveTree;9987.0;17.8933147;-2.314506654834582E-10;9987.0;62.32101732251928;3.916784306416342;20.123116111229038;0.6599788806758278;9987.0;-50.0;11.0;6.0;6.0;5.0;0.0;0.0;1.0
﻿en_2000;HoeffdingAdaptiveTree;1993.0;1.5132097;-1.9573421579682166E-12;1993.0;65.529352734571;17.417475739866966;26.524064171123;12.26053639846744;1993.0;-5.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0
﻿en_250000;HoeffdingAdaptiveTree;24967.0;66.7216277;-2.468313390880616E-9;24967.0;68.95101534024913;34.29657795296382;34.58227848101267;19.18265221017516;24967.0;-143.0;29.0;15.0;15.0;12.0;0.0;0.0;1.0
﻿en_5000;HoeffdingAdaptiveTree;4991.0;6.1464394;-3.6572030176305106E-11;4991.0;63.714686435584056;2.1583675332127563;23.457311918850397;0.767123287671248;4991.0;-23.0;5.0;3.0;3.0;2.0;0.0;0.0;1.0
﻿en_50000;HoeffdingAdaptiveTree;49945.0;169.0894839;-8.048816955958803E-9;49945.0;70.6997697467214;42.08928572260515;37.95471890104301;23.44232278315459;49945.0;-184.0;69.0;35.0;35.0;11.0;0.0;0.0;1.0
﻿en_50000_reverb;HoeffdingAdaptiveTree;21201.0;48.9219136;-1.544048352373971E-9;21201.0;57.964246969482566;14.1764470067973;15.622041280060584;6.159839949457708;21201.0;-122.0;27.0;14.0;14.0;13.0;0.0;0.0;1.0
﻿en_50000_text_triple_norm;HoeffdingAdaptiveTree;19345.0;62.7280021;-2.1258390495915794E-9;19345.0;61.46807960713363;1.6450644893627526;19.136472119765685;-0.09399758291927855;19345.0;-131.0;29.0;15.0;15.0;14.0;0.0;0.0;1.0
﻿en_50000_text_triple_std;HoeffdingAdaptiveTree;19346.0;54.0387464;-1.5797244444903402E-9;19346.0;62.49870774320273;6.176767880347127;21.32942962481025;2.591299677765849;19346.0;-113.0;25.0;13.0;13.0;12.0;0.0;0.0;1.0
﻿en_50000_triple_norm;HoeffdingAdaptiveTree;19318.0;28.9693857;-9.817665046236165E-10;19318.0;61.4038720364427;1.1482437090727968;19.044516829533126;-0.20158580835909382;19318.0;-131.0;29.0;15.0;15.0;14.0;0.0;0.0;1.0
﻿en_50000_triple_std;HoeffdingAdaptiveTree;19335.0;35.0846249;-1.107322941482481E-9;19335.0;61.42229118179468;2.071016012148336;19.082230418745937;-0.18804566823371469;19335.0;-122.0;27.0;14.0;14.0;13.0;0.0;0.0;1.0
