file_name;algo_name;model serialized size (bytes);tree size (nodes);tree size (leaves);active learning leaves ;tree depth
﻿en_10000;HoeffdingAdaptiveTree;-50.0;11;6;6;5
﻿en_2000;HoeffdingAdaptiveTree;-5.0;1;1;1;0.0
﻿en_250000;HoeffdingAdaptiveTree;-143.0;29;15;15;12
﻿en_5000;HoeffdingAdaptiveTree;-23.0;5;3;3;2
﻿en_50000;HoeffdingAdaptiveTree;-184.0;69;35;35;11
﻿en_50000_reverb;HoeffdingAdaptiveTree;-122.0;27;14;14;13
﻿en_50000_text_triple_norm;HoeffdingAdaptiveTree;-131.0;29;15;15;14
﻿en_50000_text_triple_std;HoeffdingAdaptiveTree;-113.0;25;13;13;12
﻿en_50000_triple_norm;HoeffdingAdaptiveTree;-131.0;29;15;15;14
﻿en_50000_triple_std;HoeffdingAdaptiveTree;-122.0;27;14;14;13
